Date,Open,High,Low,Close,Adj Close,Volume
1985-09-17,1308.579956,1314.520020,1291.219971,1298.160034,1298.160034,10270000
1985-09-18,1295.250000,1307.569946,1283.709961,1300.400024,1300.400024,11930000
1985-09-19,1298.839966,1312.949951,1291.219971,1306.790039,1306.790039,10130000
1985-09-20,1306.339966,1313.400024,1294.469971,1297.939941,1297.939941,11020000
1985-09-23,1313.959961,1323.589966,1305.780029,1316.310059,1316.310059,17580000
1985-09-24,1314.739990,1334.569946,1301.859985,1321.119995,1321.119995,11040000
1985-09-25,1323.479980,1330.199951,1306.000000,1312.050049,1312.050049,12280000
1985-09-26,1310.599976,1325.270020,1301.969971,1320.790039,1320.790039,12880000
1985-09-30,1330.089966,1336.810059,1318.550049,1328.630005,1328.630005,12020000
1985-10-01,1329.640015,1343.969971,1323.479980,1340.949951,1340.949951,15600000
1985-10-02,1343.410034,1351.589966,1327.959961,1333.670044,1333.670044,12580000
1985-10-03,1332.209961,1345.430054,1323.810059,1333.109985,1333.109985,10700000
1985-10-04,1330.089966,1335.010010,1321.119995,1328.739990,1328.739990,8830000
1985-10-07,1326.050049,1335.910034,1315.189941,1324.369995,1324.369995,9300000
1985-10-08,1325.040039,1333.890015,1316.199951,1325.489990,1325.489990,7620000
1985-10-09,1324.479980,1336.810059,1320.229980,1326.719971,1326.719971,7500000
1985-10-10,1325.599976,1333.329956,1318.439941,1328.069946,1328.069946,6010000
1985-10-11,1328.290039,1343.410034,1323.699951,1339.939941,1339.939941,9210000
1985-10-14,1340.390015,1356.180054,1336.579956,1354.729980,1354.729980,8640000
1985-10-15,1356.739990,1364.140015,1343.530029,1350.810059,1350.810059,13530000
1985-10-16,1351.930054,1371.300049,1346.209961,1368.500000,1368.500000,13400000
1985-10-17,1366.939941,1378.359985,1356.849976,1369.290039,1369.290039,13980000
1985-10-18,1368.839966,1383.400024,1358.869995,1368.839966,1368.839966,12670000
1985-10-21,1367.050049,1375.670044,1357.750000,1364.140015,1364.140015,7800000
1985-10-22,1364.250000,1374.660034,1356.180054,1364.359985,1364.359985,9230000
1985-10-23,1364.469971,1373.430054,1357.079956,1367.160034,1367.160034,10770000
1985-10-24,1367.380005,1374.550049,1355.290039,1362.339966,1362.339966,12230000
1985-10-25,1360.099976,1366.709961,1351.589966,1356.520020,1356.520020,11960000
1985-10-28,1353.050049,1364.020020,1346.550049,1359.989990,1359.989990,10710000
1985-10-29,1361.780029,1377.689941,1356.180054,1368.729980,1368.729980,12310000
